bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
external,a2,smart_farm,2026092421,1,1.0,75963.0,74974.0,989.0,0.0,-4080.0,22,281,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092421_seat_1.json.gz
external,a2,smart_farm,2026092422,0,1.0,58394.0,55414.0,2980.0,0.0,0.0,2,254,720,DONE/DONE,e2d7f3818a39af7905b51e53e65b29e4c52e57b804e959b69a6ea2f9bd0ec193,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092422_seat_0.json.gz
external,a2,smart_farm,2026092422,1,1.0,58645.0,54454.0,4191.0,0.0,0.0,2,254,720,DONE/DONE,e2d7f3818a39af7905b51e53e65b29e4c52e57b804e959b69a6ea2f9bd0ec193,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092422_seat_1.json.gz
external,a2,smart_farm,2026092423,0,1.0,114616.0,97026.0,17590.0,0.0,0.0,2,254,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092423_seat_0.json.gz
external,a2,smart_farm,2026092423,1,1.0,114616.0,97026.0,17590.0,0.0,0.0,2,254,720,DONE/DONE,3b15a90179d78132177234758759a2ae903ac311fbea2fb06440595cecc50aa7,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092423_seat_1.json.gz
external,a2,smart_farm,2026092424,0,0.0,97620.0,107643.0,-10023.0,-1.0,-10077.0,235,242,720,DONE/DONE,72630c504235f53644dc14d05062a36499dcd7a31d74aa3c734f19c78942cf44,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092424_seat_0.json.gz
external,a2,smart_farm,2026092424,1,0.0,97620.0,107643.0,-10023.0,-1.0,-10077.0,235,242,720,DONE/DONE,72630c504235f53644dc14d05062a36499dcd7a31d74aa3c734f19c78942cf44,experiments\learning_round2_20260921\external_bank\replays\a2\smart_farm\seed_2026092424_seat_1.json.gz
external,a2,souvik_v4,2026092421,0,1.0,75864.0,73770.0,2094.0,0.0,-2843.0,13,279,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092421_seat_0.json.gz
external,a2,souvik_v4,2026092421,1,1.0,75631.0,74190.0,1441.0,0.0,-3496.0,14,281,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092421_seat_1.json.gz
external,a2,souvik_v4,2026092422,0,1.0,59652.0,52835.0,6817.0,0.0,0.0,2,254,720,DONE/DONE,e2d7f3818a39af7905b51e53e65b29e4c52e57b804e959b69a6ea2f9bd0ec193,experiments\learning_round2_20260921\external_bank\replays\a2\souvik_v4\seed_2026092422_seat_0.json.gz
